"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/Assets/Characters/Materials/Fig/figMain_shader.figMain_shader","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Barb/M_badgerDark.M_badgerDark","0","6","6","1","0.000000","0","6"
"/Game/Assets/Models/MeshMats/lightBrown.lightBrown","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/MeshMats/white2.white2","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/MeshMats/white.white","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/MeshMats/blue01.blue01","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/MeshMats/darkBrown.darkBrown","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/MeshMats/warmWood.warmWood","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/warmWood.warmWood","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/lambert3.lambert3","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/MeshMats/green.green","0","3","3","1","0.000000","0","3"
"/Game/Assets/Models/lambert1.lambert1","0","3","3","1","0.000000","0","3"
"/Game/Assets/Characters/Materials/Grandpa/M_jacket.M_jacket","0","6","6","1","0.000000","0","6"
"/Game/Assets/Models/lambert4.lambert4","0","3","3","1","0.000000","0","3"
"/Game/Assets/Characters/Materials/Barb/M_eye.M_eye","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Barb/M_badgerLight2.M_badgerLight2","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Barb/M_beltBuckle.M_beltBuckle","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Barb/M_belt1.M_belt1","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Barb/M_eyeGlint.M_eyeGlint","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Barb/M_badgerLight.M_badgerLight","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Barb/M_hardHat.M_hardHat","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Barb/M_belt.M_belt","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/MrNogal/M_squirrelDark.M_squirrelDark","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/MrNogal/M_eye.M_eye","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/MrNogal/M_squirrelGreyLight.M_squirrelGreyLight","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Grandpa/M_eyeGlint.M_eyeGlint","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Grandpa/M_squirrel.M_squirrel","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Grandpa/M_jacketFur.M_jacketFur","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Mom/M_eyeGlint.M_eyeGlint","0","6","6","1","0.000000","0","6"
"/Game/Assets/Characters/Materials/Mom/M_eye.M_eye","0","6","6","1","0.000000","0","6"
